WARB_B41: 253.6611><906.0237><-270.4493><1069.509><1><><48><35
WARB_F01: -642.5463><785.9011><-896.0675><954.2144><1><Salination><48><35
WARB_F02: -476.5466><757.9011><-765.0675><938.2144><1><Salination><48><35
WARB_F03: -88.54619><698.6575><-629.0666><858.2141><1><Salination><202><74
WARB_F04: -22.54619><294.9005><-225.0666><230.2113><1><Salination><48><78
WARB_F05: -271.5465><-4.099557><-573.0666><-107.7886><1><Salination><202><114
WARB_F06: -181.5464><701.657><-626.0666><735.2122><2><Salination><48><35
WARB_F07: -58.54619><697.9008><-488.0666><735.2122><2><Salination><48><35
WARB_F08: -43.54619><-4.099557><-439.0666><-233.7887><2><Salination><48><35
WARB_F09: -93.5462><13.90044><434.9334><25.21135><0><Salination><48><35
WARB_F10: -93.5462><-153.0969><440.9334><-117.7886><0><Salination><48><35
WARB_F11: -295.5463><-154.0969><201.9334><-117.7886><0><Salination><100><35
WARB_F12: -502.5462><-155.0969><66.93343><-119.7886><0><Salination><48><35
WARB_F13: -455.5463><-37.09759><66.93343><21.21135><0><Salination><48><35
WARB_F14: -487.5462><71.90045><65.93343><189.2113><0><Salination><48><35
WARB_F15: -369.5462><73.90045><209.9334><194.2113><0><Salination><48><35
WARB_F16: -256.5462><270.9005><-477.0666><233.2113><1><Salination><100><35
WARB_F17: -519.5457><304.9005><-626.0666><230.2113><1><Salination><48><78
WARB_F18: -512.5457><480.9009><-630.0666><474.2109><1><Salination><48><35
WARB_F19: -144.5463><155.9004><-572.0666><-231.7887><2><Salination><48><35
WARB_F20: -101.5469><529.8995><-3750.067><346.2113><0><><48><35
WARB_F21: -160.5463><4.900443><310.9334><40.21136><0><Salination><48><35
WARB_F22: -134.5463><-276.0989><641.9334><-266.7886><2><Salination><48><35
WARB_F23: -483.5462><-272.099><64.93343><-258.7886><2><Salination><48><35
WARB_F24: -58.54619><65.90044><459.9334><167.2113><0><Salination><48><35
WARB_F26: -651.5048><-35.42436><-682.4447><-12.22865><1><Salination><48><35
WARB_G23: 110.4532><-150.1><812.9334><-120.7886><2><Salination><48><35
WARB_G24: 107.4538><-273.099><814.9334><-267.7886><2><Salination><48><35
